Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Tuition fees up to date,Scholarship holder,Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Admission grade,Displaced,Previous qualification (grade),Curricular units 2nd sem (evaluations),Application order,Daytime/evening attendance	,Curricular units 2nd sem (credited),Curricular units 1st sem (credited),Curricular units 1st sem (evaluations),GDP,Course,Target
5,14.2,5,12.8,1,1,5,5,127.9,0,131.0,5,1,1,0,0,5,-3.12,9670,Graduate
6,12.2,6,14.166666666666666,1,0,6,6,121.3,1,130.0,13,1,1,0,0,15,-4.06,9085,Graduate
0,0.0,5,12.1,1,0,7,7,117.1,1,122.0,0,6,1,0,0,12,0.79,9556,Dropout
5,13.77777777777778,6,14.166666666666666,1,0,6,6,160.0,1,160.0,17,1,1,1,1,7,1.79,9085,Graduate
6,13.666666666666666,6,13.0,1,0,6,6,122.6,1,131.0,6,3,1,0,0,7,1.79,9238,Graduate
8,15.011111111111113,7,13.467142857142855,1,0,8,7,128.0,1,132.0,9,6,1,0,0,7,1.79,9500,Graduate
7,13.742857142857144,7,13.2375,1,1,8,7,124.9,1,138.0,9,3,1,0,0,9,0.79,9500,Dropout
6,13.0,6,12.333333333333334,1,0,6,6,123.7,1,130.0,6,2,1,0,0,6,0.32,9070,Graduate
5,14.6,5,12.4,1,0,5,5,120.1,1,126.0,5,4,1,0,0,7,3.51,9147,Graduate
0,0.0,5,14.0,1,0,7,7,131.7,1,148.0,7,6,1,0,0,8,0.79,9500,Dropout
7,11.714285714285714,9,11.666666666666666,1,0,7,9,133.2,0,130.0,8,1,1,2,5,15,0.32,9238,Graduate
4,12.5,5,12.0,0,1,6,6,109.3,0,117.0,9,1,1,0,0,7,1.79,9670,Dropout
4,11.5,4,12.2,1,0,5,5,113.0,1,120.0,5,1,1,0,0,7,0.32,9670,Graduate
6,14.833333333333334,6,14.833333333333334,1,1,6,6,157.9,0,153.0,6,1,1,0,0,6,3.51,9773,Graduate
8,17.5875,7,17.125,1,0,8,7,174.7,0,178.0,8,1,1,0,0,8,0.79,9500,Graduate
6,12.666666666666666,6,12.666666666666666,1,0,7,7,128.8,1,129.0,7,5,1,0,0,7,0.32,9500,Graduate
5,12.0,6,12.666666666666666,1,1,6,6,110.1,1,116.0,10,6,1,0,0,8,1.79,9773,Graduate
6,11.5,6,11.333333333333334,1,1,6,6,121.0,1,135.0,6,3,1,0,0,7,1.79,9238,Graduate
8,12.33125,7,13.605,1,1,8,7,131.7,1,141.0,11,3,1,0,0,10,-4.06,9500,Graduate
5,10.8,5,12.0,1,1,6,6,119.1,1,132.0,9,5,1,0,0,10,-3.12,9853,Graduate
0,0.0,0,0.0,1,0,5,5,124.7,1,132.0,10,4,1,0,0,10,0.32,9254,Dropout
3,11.666666666666666,5,11.2,1,0,6,6,117.2,1,113.0,12,1,1,0,0,8,0.32,9254,Dropout
5,14.166666666666666,5,13.375,1,0,5,5,128.8,0,134.0,9,1,1,0,0,10,0.79,9147,Graduate
7,14.178571428571429,6,13.863333333333337,1,1,8,7,131.5,0,136.0,9,1,1,0,0,8,2.02,9500,Graduate
5,13.4,5,12.4,1,0,5,5,123.4,0,129.0,6,1,1,0,0,6,0.32,9085,Graduate
5,11.8,6,13.333333333333334,1,0,6,6,132.8,1,137.0,8,1,1,0,0,7,0.32,9853,Graduate
3,10.0,3,12.666666666666666,1,0,6,6,108.7,1,115.0,12,1,1,0,0,10,-3.12,9853,Dropout
4,11.5,6,12.0,1,0,6,6,138.1,0,129.0,10,1,1,0,0,8,0.32,9853,Dropout
5,11.8,5,10.6,1,1,5,5,126.5,0,131.0,5,1,1,0,0,5,1.79,9147,Graduate
6,11.857142857142858,6,12.25,1,1,6,6,127.4,1,133.0,7,2,1,0,0,8,-1.7,9238,Graduate
6,11.833333333333334,4,11.0,1,0,6,6,123.6,1,125.0,9,3,1,0,0,10,-3.12,9238,Graduate
5,12.6,5,11.0,1,1,6,6,122.0,0,120.0,9,1,0,0,0,11,2.02,8014,Graduate
6,13.0,6,13.166666666666666,1,0,6,6,118.2,0,128.0,9,1,1,0,0,6,1.74,9670,Dropout
7,12.761111111111113,7,12.855555555555554,1,1,8,7,123.9,1,127.0,12,1,1,0,0,9,-4.06,9500,Graduate
8,15.355,7,14.91875,1,0,8,7,125.8,1,134.0,8,2,1,0,0,8,-4.06,9500,Graduate
3,11.0,4,11.5,1,0,6,6,123.3,1,132.0,10,5,1,0,0,13,1.74,9853,Dropout
5,14.2,5,14.2,1,0,5,5,124.4,0,124.0,5,2,1,0,0,5,0.32,9670,Graduate
6,13.0,6,12.5,1,1,6,6,126.0,0,133.1,7,1,1,0,0,6,-4.06,9773,Graduate
4,11.0,5,11.666666666666666,1,0,6,6,121.5,0,125.0,12,3,1,0,0,10,0.79,9238,Graduate
7,14.257142857142856,7,14.257142857142856,1,0,8,8,130.0,0,130.0,8,1,1,1,1,8,-1.7,9500,Graduate
2,11.333333333333334,3,12.0,1,0,6,6,117.0,1,125.0,12,1,1,0,0,13,-0.92,9238,Dropout
8,13.5625,7,12.457142857142856,1,0,8,7,108.0,0,133.1,8,2,1,0,0,8,-4.06,9556,Graduate
6,11.683333333333332,6,11.683333333333332,1,0,7,7,132.3,1,131.0,7,1,1,0,0,7,0.32,9500,Graduate
5,12.0,3,11.666666666666666,1,0,6,6,148.0,0,150.0,8,1,0,0,0,10,-3.12,8014,Graduate
6,13.166666666666666,4,11.75,0,0,6,6,122.6,1,125.0,6,2,1,0,0,8,2.02,9254,Dropout
5,12.0,5,13.2,1,0,6,6,102.5,0,130.0,10,1,1,0,0,9,0.32,9853,Graduate
4,11.95,4,11.95,1,0,7,7,113.3,1,123.0,8,2,1,0,0,8,0.32,9500,Dropout
5,10.4,5,12.4,1,0,6,6,133.0,1,141.0,12,5,1,0,0,8,-3.12,9853,Dropout
6,14.583333333333334,6,14.35,1,0,8,7,140.0,0,140.0,10,1,1,3,2,8,-0.92,9500,Dropout
19,12.789473684210526,21,12.61904761904762,1,0,19,21,128.3,1,140.0,19,1,1,13,19,21,1.79,9853,Graduate
0,0.0,5,12.0,0,0,6,6,104.0,0,133.1,6,1,1,0,0,6,2.02,9773,Dropout
0,0.0,6,12.166666666666666,0,0,6,6,122.3,1,131.0,6,3,1,0,0,6,-4.06,9070,Dropout
0,0.0,0,0.0,1,0,6,6,135.0,0,143.0,0,2,1,0,0,0,2.02,9254,Dropout
3,10.571428571428571,3,10.0,0,0,5,5,119.1,1,132.0,9,2,1,0,0,9,1.74,9147,Dropout
6,13.05,6,13.05,1,1,7,7,129.0,1,141.0,7,3,1,0,0,7,0.32,9500,Graduate
0,0.0,2,11.0,1,0,6,6,162.3,1,133.1,6,1,1,0,0,10,3.51,9085,Dropout
6,12.0,6,11.5,1,0,6,6,163.4,1,148.0,6,4,1,0,0,7,-0.92,9070,Graduate
6,12.5,6,12.0,1,1,6,6,121.5,0,125.0,6,1,1,0,0,7,0.79,9254,Graduate
0,0.0,0,0.0,1,0,5,5,118.0,1,140.0,5,1,1,0,0,5,0.32,9147,Dropout
0,0.0,0,0.0,1,0,6,6,134.0,0,139.0,0,1,1,0,0,0,1.79,9853,Dropout
7,12.242857142857144,7,12.242857142857144,1,0,8,8,129.8,1,142.0,8,4,1,0,0,8,-1.7,9500,Graduate
0,0.0,0,0.0,1,0,5,5,152.0,1,130.0,0,1,0,0,0,0,3.51,9991,Dropout
8,12.93375,8,12.93375,1,0,8,8,122.8,1,126.0,8,6,1,0,0,8,-3.12,9500,Graduate
0,0.0,0,0.0,1,0,5,5,150.0,0,150.0,0,1,1,0,0,0,0.79,9119,Dropout
7,14.428571428571429,7,12.571428571428571,1,0,7,7,131.8,0,130.0,8,1,1,0,0,9,2.02,9853,Graduate
4,14.333333333333334,4,13.75,1,0,5,5,132.1,1,138.0,13,1,1,0,0,9,1.74,9085,Graduate
6,11.333333333333334,6,11.166666666666666,1,0,6,6,127.4,1,127.0,6,4,1,0,0,8,0.32,9238,Graduate
7,12.324285714285711,7,12.324285714285711,1,0,8,8,129.5,1,140.0,8,4,1,0,0,8,1.74,9500,Graduate
6,11.714285714285714,6,12.166666666666666,1,0,6,6,126.7,0,130.0,7,1,1,2,3,6,0.79,9238,Graduate
4,11.25,5,11.142857142857142,1,1,6,6,116.5,0,128.0,11,2,1,0,0,11,-0.92,9238,Graduate
4,10.75,4,11.0,1,0,6,6,119.1,1,132.0,9,1,1,0,0,9,0.32,9238,Graduate
7,12.914285714285713,7,12.914285714285713,1,0,8,8,126.5,1,149.0,8,2,1,0,0,8,-1.7,9500,Graduate
6,14.166666666666666,6,13.833333333333334,1,1,6,6,149.8,1,155.0,6,4,1,0,0,6,-0.92,9773,Graduate
5,13.4,6,13.857142857142858,1,0,6,6,115.1,1,120.0,9,1,1,0,0,8,0.79,9085,Graduate
5,12.8,6,13.714285714285714,1,1,6,6,124.5,0,133.1,6,1,1,0,0,7,-0.92,9254,Dropout
7,12.642857142857142,7,12.642857142857142,1,1,8,8,128.3,1,131.0,8,2,1,0,0,8,-1.7,9500,Graduate
6,12.916666666666666,6,12.916666666666666,1,1,7,7,136.0,0,149.0,7,1,1,0,0,7,0.32,9500,Graduate
6,15.857142857142858,6,15.625,1,1,6,6,140.0,1,140.0,8,1,1,0,0,8,0.79,9130,Graduate
0,0.0,0,0.0,1,1,5,5,126.3,0,133.1,8,1,0,0,0,7,-0.92,9991,Dropout
6,12.0,6,11.714285714285714,1,0,6,6,126.9,0,122.0,7,1,1,0,0,8,0.32,9773,Graduate
5,11.6,5,11.6,1,1,5,5,115.8,1,121.0,5,1,1,0,0,7,1.79,9147,Graduate
0,0.0,1,10.0,1,0,6,6,100.0,1,120.0,6,1,0,0,0,11,-3.12,8014,Dropout
0,0.0,1,10.0,1,1,6,6,102.5,0,133.1,13,1,0,0,0,16,3.51,8014,Dropout
2,13.5,0,0.0,1,0,5,5,131.5,0,121.0,9,1,1,0,0,10,0.32,9085,Dropout
3,12.333333333333334,4,13.0,1,1,5,5,147.0,0,133.0,8,1,1,0,0,7,-3.12,9147,Graduate
6,14.5,6,13.333333333333334,1,1,6,6,122.5,0,134.0,6,4,1,0,0,6,1.74,9853,Graduate
2,12.5,4,11.25,1,0,6,6,117.5,1,115.0,13,3,1,0,0,9,-3.12,9254,Dropout
7,12.19285714285714,5,13.85,1,1,8,7,150.0,0,127.0,9,1,1,0,0,9,2.02,9500,Graduate
7,14.9125,6,13.741666666666667,1,1,8,7,127.5,1,135.0,9,1,1,0,0,8,-0.92,9500,Graduate
5,15.8,6,15.333333333333334,1,0,5,6,140.0,0,140.0,5,1,0,0,2,7,2.02,9991,Graduate
5,13.8,5,11.0,1,0,5,5,130.0,0,130.0,5,1,1,0,0,6,1.79,9147,Graduate
6,12.857142857142858,6,12.0,1,1,6,6,133.3,0,135.0,7,1,1,0,0,6,2.02,9238,Graduate
0,0.0,0,0.0,1,0,5,5,97.0,1,140.0,5,2,1,0,0,5,0.32,9670,Dropout
7,11.571428571428571,7,11.571428571428571,1,1,8,8,112.0,1,120.0,15,1,1,0,0,15,-1.7,9500,Graduate
3,12.666666666666666,6,12.857142857142858,1,0,6,6,123.6,1,140.0,6,2,1,0,0,10,-1.7,9254,Graduate
0,0.0,0,0.0,1,0,6,6,130.5,0,133.1,0,1,1,0,0,0,-4.06,9254,Dropout
5,13.2,5,13.0,1,0,5,5,133.3,0,135.0,5,2,1,0,0,5,-3.12,9670,Graduate
5,12.0,5,11.0,1,1,6,6,132.1,0,123.0,8,1,1,0,0,9,-4.06,9254,Graduate
1,15.0,3,12.0,1,0,5,5,100.0,0,133.1,12,1,1,0,0,12,-0.92,9147,Dropout
6,13.0,5,12.6,1,1,6,6,140.4,0,154.0,6,1,1,0,0,6,1.74,9238,Graduate
6,13.166666666666666,5,13.4,1,1,6,6,141.7,0,148.0,7,1,1,0,0,8,-3.12,9853,Graduate
6,11.571428571428571,6,11.333333333333334,1,1,6,6,119.7,0,133.0,9,2,1,0,0,9,-4.06,9238,Graduate
4,14.25,4,13.5,0,0,5,5,122.5,1,126.0,10,1,1,0,0,14,-3.12,9130,Dropout
3,10.333333333333334,3,11.75,0,0,6,6,140.0,0,133.1,14,1,1,1,2,11,-0.92,9085,Dropout
5,13.6,5,11.6,1,1,5,5,119.1,1,118.0,5,2,1,0,0,5,1.79,9147,Graduate
0,0.0,0,0.0,0,0,5,5,122.7,0,120.0,9,1,1,0,0,5,1.74,9147,Dropout
10,12.363636363636363,9,12.9,1,1,10,10,117.9,0,127.0,12,1,1,4,5,13,3.51,9147,Graduate
8,13.22,8,13.22,1,0,8,8,130.0,0,130.0,8,1,1,0,0,8,-3.12,9500,Graduate
7,13.151428571428571,7,13.151428571428571,1,1,8,8,120.0,1,129.0,8,3,1,0,0,8,1.74,9500,Graduate
3,11.333333333333334,3,12.75,0,0,6,6,130.0,0,130.0,8,1,1,0,0,13,0.79,9003,Dropout
4,12.25,6,11.333333333333334,1,0,6,6,116.8,1,121.0,8,3,1,0,0,8,2.02,9254,Graduate
5,14.142857142857142,6,13.25,1,1,6,6,123.4,1,136.0,13,1,1,0,0,10,2.02,9670,Graduate
6,12.833333333333334,6,15.0,1,1,6,6,127.2,1,131.0,6,3,1,0,0,6,3.51,9773,Dropout
5,13.0,5,14.4,1,0,5,5,103.4,0,122.0,6,1,1,0,0,6,0.32,9085,Graduate
5,10.8,5,12.4,1,0,5,5,124.1,0,136.0,6,1,1,0,0,8,3.51,9147,Graduate
0,0.0,1,16.0,0,1,7,7,99.5,1,133.1,12,1,1,0,0,13,3.51,9556,Dropout
5,12.333333333333334,5,13.571428571428571,1,0,5,5,124.9,0,127.0,14,1,0,0,0,10,-0.92,9991,Graduate
5,12.666666666666666,5,11.666666666666666,1,1,6,6,118.9,1,121.0,9,1,1,0,0,8,1.79,9238,Graduate
2,13.0,6,11.833333333333334,0,0,7,10,118.8,1,124.0,8,1,1,2,6,16,-0.92,9238,Dropout
5,10.6,6,11.166666666666666,1,1,6,6,137.0,0,131.0,10,1,1,0,0,8,-4.06,9254,Graduate
0,0.0,0,0.0,1,0,6,6,100.0,0,100.0,0,1,0,0,0,0,-1.7,8014,Dropout
6,12.166666666666666,8,11.75,0,0,12,12,120.0,0,130.0,19,1,1,6,8,17,0.32,9119,Dropout
6,14.0,6,14.0,1,0,6,6,122.8,0,135.0,7,1,1,0,0,7,1.74,9238,Graduate
6,12.0,6,12.833333333333334,1,0,6,6,121.6,0,130.0,6,1,1,0,0,6,1.79,9238,Graduate
3,11.666666666666666,4,12.25,1,0,6,6,149.2,1,146.0,10,2,1,0,0,11,-3.12,9773,Graduate
7,14.828571428571427,7,14.828571428571427,1,0,8,8,140.0,1,146.0,8,4,1,0,0,8,-1.7,9500,Graduate
5,12.8,5,11.4,1,1,6,6,133.4,1,154.0,8,2,1,0,0,7,-1.7,9773,Graduate
6,12.5,6,13.0,1,1,6,6,126.2,1,137.0,8,1,1,0,0,6,1.74,9070,Graduate
7,13.671428571428573,7,13.671428571428573,1,1,8,8,127.8,0,151.0,8,5,1,0,0,8,-1.7,9500,Graduate
5,12.8,6,12.666666666666666,1,1,6,6,150.0,0,150.0,8,1,1,0,0,9,0.79,9003,Graduate
1,13.0,2,10.0,0,0,5,5,113.7,1,121.0,12,2,1,0,0,10,0.32,9147,Dropout
5,12.333333333333334,5,13.5,1,0,5,5,117.8,1,122.0,8,1,1,0,0,10,0.79,9147,Graduate
8,13.55,7,12.67,1,0,8,7,136.7,0,143.0,8,1,1,1,2,8,2.02,9500,Graduate
6,15.428571428571429,6,14.5,1,0,6,6,144.7,0,152.0,7,1,1,0,0,8,-0.92,9238,Graduate
8,15.3875,7,13.685714285714283,1,0,8,7,139.8,1,145.0,8,3,1,0,0,7,0.79,9500,Graduate
3,10.666666666666666,5,11.0,1,0,6,6,113.7,0,120.0,10,1,1,0,0,8,-1.7,9853,Dropout
5,13.2,7,11.555555555555555,0,0,7,9,140.0,0,140.0,12,1,1,5,7,16,0.32,9130,Dropout
7,13.812857142857142,7,14.00375,1,1,8,7,119.6,1,129.0,11,1,1,0,0,8,-4.06,9500,Graduate
4,11.4,4,12.0,1,1,5,5,123.7,1,139.0,8,2,1,0,0,8,-0.92,9147,Graduate
6,14.166666666666666,5,14.166666666666666,1,1,6,6,143.0,1,133.1,7,1,0,0,0,9,-0.92,8014,Graduate
